Nom,Auteurs,"Sujets, Mots-clés",Mis à jour,Création,Licence,Début,Fin,Lignes,Sites,Type,Etat,Couverture,Couverture Geom,Échelle,Langue,Description
"Danubius, sièges épiscopaux",Jean-Philippe Droux - Dominic Moreau,"DANUBIUS, Sièges épiscopaux",2019-11-22 16:21,2019-11-22 16:21,CC-BY-NC,169,799,212,211,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[14.469143,34.867327],[14.469143,45.560018],[44.83368,45.560018],[44.83368,34.867327],[14.469143,34.867327]]]}",Site,fr,"Le projet DANUBIUS propose d’étudier la christianisation des régions danubiennes sur le très long temps, entre le IIIe et le VIIIe siècle ap. J.-C. Cette problématique n’a pas fait l’objet d’une synthèse complète depuis Les origines chrétiennes dans les provinces danubiennes de l’Empire romain de Jacques Zeiller (Paris, 1918). Ce projet – qui constitue la première étape d’un programme de recherche international et interdisciplinaire de longue durée – repose ainsi la question à la lumière de l’avancée scientifique des cent dernières années, à la fois en histoire et en archéologie, pour une meilleure compréhension de l’évolution simultanée de l’organisation ecclésiastique et de la topographie chrétienne. Dans un premier temps, il se concentrera sur la dernière section du Danube à avoir été perdue par Constantinople, qui est aussi la partie du fleuve la mieux documentée par les sources littéraires, c’est-à-dire le Bas-Danube (les provinces romaines tardives de Dacia Ripensis, Moesia Secunda et Scythia). Pour atteindre les objectifs, un système d’information géographique (SIG) des sièges épiscopaux et autres sites chrétiens sera déployé. Il sera structuré autour de trois axes.
Le premier axe, duquel sont issues les données déposées dans ArkeoGIS, prévoit la compilation d’une base de données analytique des sources anciennes, qui constitue le noyau du SIG. Elle rassemblera toutes les traces – tant matérielles qu’écrites (notamment les inscriptions, in situ ou non) – du christianisme dans la région jusqu’au VIIIe siècle. Cette base de données consacrera une fiche à chaque source enregistrée, une fiche qui correspondra à un protocole prédéterminé et à une typologie stricte, tout en offrant différentes possibilités de saisie textuelle (les textes anciens seront copiés dans leur langue d’origine et ne feront pas simplement l’objet de références bibliographiques), complétées par des images, des plans, des résultats de prospection de tous types, etc. Compte tenu de l’ampleur et de la richesse du matériel à traiter, on se concentrera dans un premier temps sur les sièges épiscopaux, les groupes épiscopaux et le mobilier lié à la fonction de l’évêque. Cette partie heuristique du projet offrira une classification sans précédent de la documentation nécessaire pour répondre à la problématique des relations entre christianisme et militarisation le long du Danube romain tardif."
villas narbonnaise test aix,Marcello Turci - nicolas bernigaud,villas narbonnaise test aix,2019-11-18 15:00,2019-11-18 15:00,CC-BY-NC,indéterminé,indéterminé,140,139,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.05646472922431,6.56889519775506],[4.05646472922431,6.65434580939492],[4.11636928382807,6.65434580939492],[4.11636928382807,6.56889519775506],[4.05646472922431,6.56889519775506]]]}",Site,fr,villas narbonnaise test aix villas narbonnaise test aix
Bibracte_Interventions_2010_2018,Matthieu THIVET,"Oppida, Bibracte, intervention, age du Fer, protohistoire",2019-09-17 23:28,2019-05-16 17:05,CC-BY-NC,-120,-20,181,66,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.01242174469518,46.9214301700885],[4.01242174469518,46.9571080420737],[4.05151539056376,46.9571080420737],[4.05151539056376,46.9214301700885],[4.01242174469518,46.9214301700885]]]}",Site,fr,Base de dépôt dans le cadre de Bibracte Numérique
Scories Alsace Chosson,Jean-Philippe Droux - Michael Chosson,Scories Alsace,2019-04-25 13:19,2019-04-25 13:19,CC-BY-NC,-1350,-26,1471,1470,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.26953155,47.49678736],[7.26953155,48.8152359],[7.79395579,48.8152359],[7.79395579,47.49678736],[7.26953155,47.49678736]]]}",Site,fr,Scories Alsace
Verduron et sites contemporains,Loup Bernard - alain zasadzinski,"Verduron, Marseille grecque, Celtes méridionaux, IIIe s. av. J.-C.",2019-04-24 17:59,2019-04-24 15:31,CC-BY-NC,-300,-26,21,3,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.2757833070808,43.371387],[5.2757833070808,43.396194],[5.338889,43.396194],[5.338889,43.371387],[5.2757833070808,43.371387]]]}",Site,fr,Verduron et sites contemporains fouillés autour de Marseille grecque au IIIe s. av. J.-C.
Sites_bassin_versant_Anapodaris,Quentin Drillat,"Sites archéologiques, bassin versant de l'Anapodaris, Messara, Crète, Grèce",2019-04-18 14:29,2017-03-06 13:07,CC-BY-NC-SA,-1430,330,190,134,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[25.0972307121656,34.9980337257101],[25.0972307121656,35.1663949097652],[25.4462884470936,35.1663949097652],[25.4462884470936,34.9980337257101],[25.0972307121656,34.9980337257101]]]}",Site,fr,"Inventaire des sites archéologiques du bassin versant de l'Anapodaris (Crète, Grèce), entre le Minoen Récent II et l'époque romaine, dans le cadre d'un travail de Master."
Barbau 2019 Objets italiques en Gaule ,Lizzie Scholtus - Clémentine BARBAU,"Petit mobilier, mobilier italique, Gaule",2019-03-26 14:50,2019-03-26 14:47,CC-BY-NC-SA,-360,450,968,114,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[-3.443701916,44.10058369],[-3.443701916,50.54836994],[8.588047866,50.54836994],[8.588047866,44.10058369],[-3.443701916,44.10058369]]]}",Objet,fr,"Durant les deux derniers siècles avant notre ère, des objets de type italique, c’est-à-dire caractérisant la culture matérielle de l’Italie tardo-républicaine apparaissent progressivement en Gaule. L’identification de ces objets du quotidien et leur analyse typologique et contextuelle permettent une approche renouvelée du phénomène de romanisation de la Gaule. L’objectif de cette étude est de mettre en exergue les modalités chronologiques, spatiales et culturelles de la diffusion de ce type de mobilier. La confrontation des résultats avec les données issues des études céramologiques et architecturales permet de brosser un tableau affiné du processus d’acculturation. La prise en compte de la nature des sites, ainsi que de la diversité des types d’objets considérés, permet de souligner la variété des comportements des populations locales face à la réception de ces mobiliers exogènes. Que ce soit dans le commerce ou en intégrant l’armée romaine, les élites locales ont joué un rôle majeur au sein des interactions avec l’Italie, mais aussi pour la diffusion de ces objets et l’intégration des nouveaux modèles italiques."
Article_Rhin_CM_FS_2019,Charlène Morel - Ferreol Salomon,"Rhin, Géoarchéologie, Alsace, Ried, Paléochenaux",2019-02-25 17:46,2019-02-25 17:33,CC-BY-NC,-6500,799,68,67,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.84566072,48.70272701],[7.84566072,48.86772379],[8.0828363,48.86772379],[8.0828363,48.70272701],[7.84566072,48.70272701]]]}",Site,fr,Base de données comprenant les sites et les résultats géoarchéologiques du secteur entre Seltz et Drusenheim. Cette base de données compète l'article publié ... (En cours)
Sources MATPREM Perles Antilles,Alain Queffelec,Lithique,2019-01-09 12:10,2019-01-08 15:46,CC-BY-NC,indéterminé,indéterminé,68,67,Inventaire,En cours,Monde,"{""type"":""Polygon"",""coordinates"":[[[-117.5,-29.690403],[-117.5,40.6119444444444],[-39.602076,40.6119444444444],[-39.602076,-29.690403],[-117.5,-29.690403]]]}",Site,fr,Gites potentiels de matière première pour la réalisation d'objets de parure à la période Céramique dans les Antilles
test mobilier CCE Alsace,Loup Bernard - Agathe MULOT,test mobilier CCE Alsace,2018-12-04 18:03,2018-12-04 17:59,CC-BY-NC,-125,1492,4,3,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.48622956440542,48.6205001783246],[7.48622935624242,48.6204984204376],[7.48622863480656,48.6204967232523],[7.48622742782225,48.6204951519906],[7.48622578167327,48.6204937670352],[7.48622375962021,48.6204926216091],[7.48622143936942,48.6204917597304],[7.48621891008682,48.6204912145207],[7.48621626897128,48.6204910069319],[7.48621361751933,48.6204911449416],[7.48621105762472,48.6204916232462],[7.48620868766274,48.6204924234646],[7.48620659870965,48.6204935148451],[7.48620487104274,48.6204948554464],[7.48620357105529,48.62049639375],[7.48620274870511,48.6204980706398],[7.48620243559471,48.6204998216738],[7.48620264375678,48.6205015795609],[7.48620336519183,48.6205032767463],[7.48620457217557,48.6205048480082],[7.48620621832432,48.6205062329639],[7.48620824037752,48.6205073783903],[7.48621056062878,48.6205082402692],[7.48621308991213,48.6205087854792],[7.48621573102859,48.6205089930681],[7.48621838248147,48.6205088550584],[7.48622094237688,48.6205083767536],[7.48622331233943,48.6205075765349],[7.48622540129275,48.6205064851541],[7.48622712895953,48.6205051445525],[7.4862284289465,48.6205036062487],[7.48622925129593,48.6205019293587],[7.48622956440542,48.6205001783246]]]}",Site,fr,test mobilier CCE Alsace
Rituel habitat âge du Fer(Vosges Forêt-Noire),Jean-Philippe Droux,Rituel symbolique habitat âge du Fer Vosges Forêt-Noire,2018-11-19 19:09,2018-11-19 18:25,CC-BY-NC-SA,-2200,449,780,392,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.3234319537683,48.112215085598],[7.3234319537683,48.895909486142],[7.9855785821004,48.895909486142],[7.9855785821004,48.112215085598],[7.3234319537683,48.112215085598]]]}",Site,fr,"Inventaire du potentiel symbolique et rituel dans l'habitat de l'âge du Fer entre Vosges et Forêt-Noire, 2 volumes, mémoire de Master sous la direction de Bernard (L), Université de Strasbourg, 2013"
Sites antiques du Massif calcaire de Syrie du Nord,Jean-Philippe Droux - Catherine Duvette,"Mot clés : implantions rurales, habitat, églises, pressoirs à huile et à vin, bains, tombeaux, citernes, hellénistique, romain, byzantin, Massif calcaire, Syrie du Nord",2018-09-13 19:40,2017-02-27 15:42,CC-BY-NC,-300,1400,1349,684,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[36.25915,35.36423],[36.25915,36.53648],[37.11703,36.53648],[37.11703,35.36423],[36.25915,35.36423]]]}",Site,fr,"Les « villes mortes » de la Syrie du Nord, comme on les désignait autrefois, constituent un des ensembles archéologiques les plus extraordinaires au monde. Il s'agit de plus de 650 sites d’époques hellénistique, romaine et byzantine qui se trouvent dans une vaste région comprise entre la frontière turque au nord et la cité d'Apamée au sud, les vallées de l'Afrin et de l'Oronte à l'Ouest et la plaine d'Alep à l'Est. Ils occupent un ensemble de plateaux   connu sous le nom de Massif calcaire. Cette base recense les sites prospectés, fouillés et étudiés sur cette zone depuis la fin du XIXe siècle et les met en relation avec une bibliographie actualisée. Elle constitue la première matrice d'un groupe de bases thématiques, scientifiques et patrimoniales, qui sera progressivement intégré à ArkeoGIS."
Stolpersteine,Loup Bernard,http://www.stolpersteine.eu/,2018-06-12 12:35,2018-06-11 19:52,CC-BY-NC-SA,indéterminé,indéterminé,45,44,Inventaire,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[7.733161,48.571591],[7.733161,48.591386],[7.772043,48.591386],[7.772043,48.571591],[7.733161,48.571591]]]}",Objet,fr,"http://www.stolpersteine.eu/ Stolpersteine, test en cours"
ADAB_2011_Nord,Jean-Philippe Droux - Erich Lieb,ADAB Nord,2018-04-05 17:12,2018-03-24 12:47,CC-BY-NC-SA,-3000000,2016,4166,4159,Inventaire,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.71516067884119,48.2168402157865],[7.71516067884119,49.6111098758453],[9.04730206580147,49.6111098758453],[9.04730206580147,48.2168402157865],[7.71516067884119,48.2168402157865]]]}",Site,fr,"In der Datenbank ADABweb sind im Sommer 2009 rund 170.000 Objekte der Archäologie und der Bau- und Kunstgeschichte eingetragen. Der Erfassungsstand variiert in den einzelnen Landkreisen. Kombiniert werden die Kulturdenkmale mit den Daten der Automatischen Liegenschaftskarte, topographischen Karten in unterschiedlichen Maßstäben, landesweiten Orthofotos der Landesvermessung, den so genannten Urnummernkarten, das heißt den ersten Flurkarten aus dem 19. Jahrhundert, die zurzeit digitalisiert werden. Auch externe Datenquellen können per WMS/WFS eingebunden und visualisiert werden. Außerdem sind mehr als 40.000 digitalisierte Pläne und Gebäudegrundrisse aus dem Planarchiv der Denkmalpflege digital recherchierbar. Seit Februar 2009 werden sukzessive die Bilder des Luftbildarchivs des Landesamtes für Denkmalpflege digitalisiert und im Kontext zum jeweiligen Objekt direkt zugänglich gemacht. Ergebnisse von archäologischen Ausgrabungen (Grabungspläne) werden nach und nach eingebunden. Der Verbleib der Funde im Zentralen Fundarchiv Rastatt (ZFA) wird durch die Kombination zweier Datenbanken - Esslingen (LAD) und Rastatt (ZFA) - in ADABweb nachgewiesen."
ADAB_2011_Sud,Jean-Philippe Droux,Adab sud,2018-03-25 16:52,2018-03-25 16:37,CC-BY-NC-SA,-3000000,1999,1594,1590,Inventaire,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.52371988348306,47.5369064735619],[7.52371988348306,48.2548182916315],[8.40260565376766,48.2548182916315],[8.40260565376766,47.5369064735619],[7.52371988348306,47.5369064735619]]]}",Site,fr,"In der Datenbank ADABweb sind im Sommer 2009 rund 170.000 Objekte der Archäologie und der Bau- und Kunstgeschichte eingetragen. Der Erfassungsstand variiert in den einzelnen Landkreisen. Kombiniert werden die Kulturdenkmale mit den Daten der Automatischen Liegenschaftskarte, topographischen Karten in unterschiedlichen Maßstäben, landesweiten Orthofotos der Landesvermessung, den so genannten Urnummernkarten, das heißt den ersten Flurkarten aus dem 19. Jahrhundert, die zurzeit digitalisiert werden. Auch externe Datenquellen können per WMS/WFS eingebunden und visualisiert werden. Außerdem sind mehr als 40.000 digitalisierte Pläne und Gebäudegrundrisse aus dem Planarchiv der Denkmalpflege digital recherchierbar. Seit Februar 2009 werden sukzessive die Bilder des Luftbildarchivs des Landesamtes für Denkmalpflege digitalisiert und im Kontext zum jeweiligen Objekt direkt zugänglich gemacht. Ergebnisse von archäologischen Ausgrabungen (Grabungspläne) werden nach und nach eingebunden. Der Verbleib der Funde im Zentralen Fundarchiv Rastatt (ZFA) wird durch die Kombination zweier Datenbanken - Esslingen (LAD) und Rastatt (ZFA) - in ADABweb nachgewiesen."
Brotschberg_2017,Steeve Gentner,"Brotschberg, Habitat, Mobilier, Prospection",2018-03-07 22:45,2018-03-07 22:45,CC-BY-NC,-6500,1600,45,44,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.323163,48.704695],[7.323163,48.708176],[7.32718,48.708176],[7.32718,48.704695],[7.323163,48.704695]]]}",Objet,fr,"Résultats des prospections menées sur le Brotschberg à Haegen (67, Bas-Rhin) par S. Gentner et M. Walter en Juin 2017 dans le cadre de l'Axe 1 (Enceintes et sites fortifiés du Rhin supérieur) de l'équipe IV - AMER de l'UMR 7044. Cette base de données est complémentaire au rapport d'opération déposé au SRA en 2017 : ""S. Gentner, M. Walter, Les enceintes de hauteur du Brotschberg à Haegen et du Wuestenberg à Rheinhardsmunster (67), deux fortifications de contour du pas de Saverne, Prospection inventaire, Rapport 2017"". Le but de cette base de données est aussi expérimentale, afin de tester le potentiel du logiciel ArkéoGIS à l'échelle d'un site."
Boucles de ceinture artefacts.mom,Lizzie Scholtus - Michel Feugère,Boucles de ceinture en Gaule de l'Est issues de la base Artefacts,2018-02-07 23:22,2018-02-03 23:19,CC-BY-NC-SA,-20,500,357,356,Recherche,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[5.39833,47.24878],[5.39833,49.98419],[8.41944,49.98419],[8.41944,47.24878],[5.39833,47.24878]]]}",Objet,fr,"Extraction des boucles de ceinture romaines depuis la base artefacts.mom.fr, pour la Gaule de l'Est"
Cours cartes de confiance,Charlène Morel,"Alsace, Carte de confiance, Cours",2018-01-31 14:51,2018-01-31 14:51,CC-BY-NC-SA,-6500,1491,150,149,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.4908876,48.363754],[7.4908876,48.43622],[7.7982802,48.43622],[7.7982802,48.363754],[7.4908876,48.363754]]]}",Site,fr,"Base créée dans le cadre d'un cours sur les cartes de confiance. A ne pas utiliser scientifiquement !
1 ligne = 1 site
Les caractérisations de chaque site ont été retirées, il n'en reste qu'une seule ligne."
Sites et indices de sites Paléolithiques d'Alsace,Jean-Philippe Droux - Patrice Wuscher,Sites et indices de sites Paléolithiques d'Alsace,2018-01-23 17:58,2018-01-22 17:57,CC-BY-NC,-3000000,-9601,148,121,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.97750587,47.4553876],[6.97750587,49.0293],[8.17846,49.0293],[8.17846,47.4553876],[6.97750587,47.4553876]]]}",Site,fr,"Inventaire des sites paléolithiques (donc sans le
mésolithique pour l'instant) récemment révisé et remis à jour dans le cadre
du PCR ""Le Paléolithique et le Mésolithique de la Plaine d’Alsace et des
collines sous-vosgiennes. Reprises des données existantes, pistes pour
détecter les sites et approches territoriales"" dirigé par Patrice Wuscher"
SHKR,Franziska Faupel - Oliver Nakoinz,Eisenzeit SHKR,2017-11-09 02:19,2017-09-22 17:21,CC-BY-NC,-2200,580,9849,9848,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.26687161544985,47.5438021901295],[6.26687161544985,50.6918288400207],[10.4776245683304,50.6918288400207],[10.4776245683304,47.5438021901295],[6.26687161544985,47.5438021901295]]]}",Site,de,"Eisenzeit SHKR, für ArkeoGIS modifiziert (Daten), einigen Koordinaten verändert, einige Fundstellen herausgenommen. Besser in der SHKR nachschauen."
CMorel_Thèse_Alsace,Charlène Morel,"Géoarchéologie, Kochersberg, Loess, Longue durée",2017-10-18 17:35,2017-10-12 16:02,CC-BY-NC,-6500,1500,1849,465,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.40377365,48.51680275],[7.40377365,48.78697287],[7.84856149,48.78697287],[7.84856149,48.51680275],[7.40377365,48.51680275]]]}",Micro région,fr,"Cette base de données résulte de la compilation des données du S.R.A. de Strasbourg dans le cadre d’une thèse en préparation à l’université de Strasbourg. Le but est d’étudier l’occupation et l’exploitation des lœss aux alentours du Kochersberg (Alsace, France) entre le Néolithique et le XVè siècle. Tous les sites n’ont pas été retenus et intégrés à la base de données. Seuls ceux avec une information assez fiable ont été gardés. Sont donc exclus : les centroïdes, les sites avec une occupation trop lâche pour parler d’habitat, les diagnostics négatifs, la plupart des dépôts, les sites dont la date ou la fonction n’étaient pas déterminées ainsi que le mobilier hors-site."
Sites de métallurgie du fer en Lorraine,Alexandre Disser,"Archéométallurgie, alliages ferreux, Lorraine",2017-10-16 23:52,2017-10-16 23:09,CC-BY-NC-SA,-800,2016,1387,503,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[4.96899127029747,47.9818093382483],[4.96899127029747,49.5619194146207],[7.1808002139264,49.5619194146207],[7.1808002139264,47.9818093382483],[4.96899127029747,47.9818093382483]]]}",Site,fr,Base de données établie dans le cadre du programme de recherche sur l'archéométallurgie du fer en Lorraine sous la direction de Marc Leroy (LMC IRAMAT-UMR 5060).
